Aan-2006-Photon flux partitio.txt,0.265225
Aan-2006-Photon flux partitio.txt,0.727609
Aan-2006-Photon flux partitio.txt,0.804609
Aan-2006-Photon flux partitio.txt,0.543169
Aars-1995-Root Voles - Litter.txt,0.082944
Aars-1995-Root Voles - Litter.txt,0.099225
Aars-2002-Intrinsic and climat.txt,0.9409
Aarssen-1992-Genotypic Variation.txt,0.751689
Abbott-1982-Woody Litter Decompo.txt,0.996004
Abbott-2007-Food limitation and.txt,0.04
Abd El-Ghani-2000-Floristics and envir.txt,0.1369
Abd El-Ghani-2000-Floristics and envir.txt,0.3249
Abd El-Ghani-2000-Floristics and envir.txt,0.2704
Abe-2008-Population maintenan.txt,0.8281
Abe-2008-Population maintenan.txt,0.9216
Abele-1974-Species-Diversity of.txt,0.64
Abele-1974-Species-Diversity of.txt,0.7744
Abele-1974-Species-Diversity of.txt,0.7744
Abell-2000-Costs of reproductio.txt,0.1369
Abell-2000-Costs of reproductio.txt,0.033856
Able-1973-Role of Weather Vari.txt,0.912025
Able-1973-Role of Weather Vari.txt,0.9604
Abrahams-2000-Within-group variati.txt,0.094249
Abrahams-2000-Within-group variati.txt,4e-06
Abrahamson-2003-Long-term patterns o.txt,0.3969
Abrahamson-2003-Long-term patterns o.txt,0.3364
Abrahamson-2003-Long-term patterns o.txt,0.36
Abrahamson-2003-Long-term patterns o.txt,0.6241
Abrahamson-2003-Long-term patterns o.txt,0.3249
Abrahamson-2003-Long-term patterns o.txt,0.5041
Abrams-1994-Relating Wet and Dry.txt,0.0529
Abrams-1994-Relating Wet and Dry.txt,0.0484
Abrams-1994-The Effects of Enric.txt,0.01
Abramsky-1979-Competition among Sm.txt,0.81
Abramsky-1982-Competition and the.txt,0.9604
Abramsky-1982-Competition and the.txt,0.9604
Abramsky-1982-Competition and the.txt,0.9801
Abramsky-1982-Competition and the.txt,0.9801
Abramsky-1990-Habitat Selection -.txt,0.01
Abramsky-1990-Habitat Selection -.txt,0.1764
Abramsky-1990-Habitat Selection -.txt,0.2025
Abramsky-1990-Habitat Selection -.txt,0.1849
Abramsky-1990-Habitat Selection -.txt,0.2704
Abramsky-1991-The Shape of a Gerbi.txt,0.2025
Abramsky-1991-The Shape of a Gerbi.txt,0.7921
Abramsky-1991-The Shape of a Gerbi.txt,0.2025
Abramsky-1991-The Shape of a Gerbi.txt,0.7225
Abramsky-2005-Does interspecific c.txt,0.8649
Abramsky-2005-Does interspecific c.txt,0.25
Abramsky-2005-Does interspecific c.txt,0.0016
Abramsky-2005-Does interspecific c.txt,0.0144
Abramsky-2005-Does interspecific c.txt,0.1849
Ackerly-1995-Seedling Crown Orien.txt,0.1681
Ackerly-1995-Seedling Crown Orien.txt,0.057121
Ackerly-1995-Seedling Crown Orien.txt,0.069169
Ackerly-2006-Niche evolution and.txt,0.0625
Ackerly-2006-Niche evolution and.txt,0.0016
Ackerman-1983-Diversity and Season.txt,0.04
Adams-1972-Behavioral Indexes o.txt,0.697225
Adams-1972-Behavioral Indexes o.txt,0.180625
Adams-1972-Behavioral Indexes o.txt,0.793881
Adams-1972-Behavioral Indexes o.txt,0.528529
Adams-1980-The Role of Competit.txt,0.7569
Adams-1980-The Role of Competit.txt,0.8464
Adams-1980-The Role of Competit.txt,0.9801
Adams-1980-The Role of Competit.txt,0.6724
Adams-1980-The Role of Competit.txt,0.9216
Adams-2000-Ecological character.txt,0.57623281
Adams-2008-Water availability a.txt,0.2601
Adams-2008-Water availability a.txt,0.3969
Addicott-1974-Predation and Prey C.txt,0.0841
Addicott-1974-Predation and Prey C.txt,0.1444
Addicott-1974-Predation and Prey C.txt,0.1024
Addicott-1974-Predation and Prey C.txt,0.01
Addicott-1974-Predation and Prey C.txt,0.1369
Addicott-1974-Predation and Prey C.txt,0.0169
Addicott-1974-Predation and Prey C.txt,0.0529
Addicott-1974-Predation and Prey C.txt,0.3025
Addicott-1974-Predation and Prey C.txt,0.3969
Addicott-1974-Predation and Prey C.txt,0.1225
Addicott-1974-Predation and Prey C.txt,0.1296
Addicott-1974-Predation and Prey C.txt,0.09
Addicott-1974-Predation and Prey C.txt,0.0256
Addicott-1974-Predation and Prey C.txt,1e-04
Addicott-1974-Predation and Prey C.txt,0.0144
Addo-Bediako-2000-Thermal tolerance, c.txt,0.81
Addo-Bediako-2000-Thermal tolerance, c.txt,0.49
Addo-Bediako-2000-Thermal tolerance, c.txt,0.64
Adjeroud-2000-Physical factors of.txt,0.925444
Adjeroud-2000-Physical factors of.txt,0.984064
Adler-1987-Demography of a Habi.txt,0.3136
Adler-1987-Demography of a Habi.txt,0.1296
Adler-1987-Demography of a Habi.txt,0.0841
Adler-1987-Demography of a Habi.txt,0.1024
Adler-1994-A General Test for I.txt,0.281961
Adler-1994-A General Test for I.txt,0.3249
