"Aan-2006-Photon flux partitio.txt",0.781
"Aan-2006-Photon flux partitio.txt",0.304
"Aan-2006-Photon flux partitio.txt",0.463
"Aanes-2000-Fluctuations of an i.txt",0.26
"Aanes-2000-Fluctuations of an i.txt",0.49
"Aars-2002-Intrinsic and climat.txt",0.76
"Aars-2002-Intrinsic and climat.txt",0.53
"Aarssen-1992-Genotypic Variation.txt",0.8
"Abadie-2011-Landscape disturbanc.txt",0.03
"Abbott-1982-Woody Litter Decompo.txt",0.73
"Abbott-1982-Woody Litter Decompo.txt",0.78
"Abbott-2009-Environmental variat.txt",0.1
"Abbott-2009-Environmental variat.txt",0.1
"Aber-1979-Foliage-Height Profi.txt",0.81
"Able-1973-Role of Weather Vari.txt",0.542
"Abrahamson-2003-Long-term patterns o.txt",0.20
"Abrahamson-2003-Long-term patterns o.txt",0.16
"Abrahamson-2003-Long-term patterns o.txt",0.33
"Abrahamson-2003-Long-term patterns o.txt",0.60
"Abrahamson-2003-Long-term patterns o.txt",0.44
"Abrahamson-2003-Long-term patterns o.txt",0.29
"Abrahamson-2003-Long-term patterns o.txt",0.65
"Abrahamson-2003-Long-term patterns o.txt",0.74
"Abram-2000-Character shifts of.txt",0.75
"Abrams-2000-The impact of habita.txt",0.5
"Abrams-2000-The impact of habita.txt",0.5
"Abramsky-2002-The costs of apprehe.txt",0.87
"Abramsky-2002-The costs of apprehe.txt",0.55
"Abramsky-2002-The costs of apprehe.txt",0.77
"Ackerly-1995-Seedling Crown Orien.txt",0.189
"Ackerly-1995-Seedling Crown Orien.txt",0.349
"Ackerly-1995-Seedling Crown Orien.txt",0.237
"Ackerly-1995-Seedling Crown Orien.txt",0.521
"Ackerman-1990-Short-Term and Long-.txt",0.52
"Adams-1987-Territory Size and P.txt",0.855
"Adams-1987-Territory Size and P.txt",0.426
"Adams-2009-Is there more insect.txt",0.94
"Adler-1997-Changing reproductiv.txt",0.57
"Adler-2004-Neutral models fail.txt",0.61
"Aerts-1997-Nutritional and plan.txt",0.72
"Agawin-2000-Response of Mediterr.txt",0.62
