"Aars-2002-Intrinsic and climat.txt",15,18,1.00
"Abadie-2011-Landscape disturbanc.txt",1,26,4.24
"Abadie-2011-Landscape disturbanc.txt",1,26,0.26
"Abadie-2011-Landscape disturbanc.txt",3,243,17.9
"Abadie-2011-Landscape disturbanc.txt",1,46,17.0
"Abadie-2011-Landscape disturbanc.txt",1,46,2.74
"Abadie-2011-Landscape disturbanc.txt",3,243,4.44
"Abadie-2011-Landscape disturbanc.txt",1,20,5.15
"Abadie-2011-Landscape disturbanc.txt",1,20,4.21
"Abell-2000-Costs of reproductio.txt",1,44,44.3
"Abell-2000-Costs of reproductio.txt",1,33,28.0
"Abjornsson-2004-Responses of prey fr.txt",1,12,0.02
"Abjornsson-2004-Responses of prey fr.txt",1,12,0.30
"Abjornsson-2004-Responses of prey fr.txt",1,6,6.31
"Abjornsson-2004-Responses of prey fr.txt",1,11,31.45
"Abrahams-2000-Within-group variati.txt",2,27,4.08
"Abrahamson-2003-Long-term patterns o.txt",2,306,43.6
"Abrahamson-2003-Long-term patterns o.txt",4,306,15.2
"Abrahamson-2003-Long-term patterns o.txt",5,306,2.5
"Abrahamson-2003-Long-term patterns o.txt",4,124,16.9
"Abrahamson-2003-Long-term patterns o.txt",4,282,23.3
"Abrahamson-2003-Long-term patterns o.txt",2,282,3.9
"Abrahamson-2003-Long-term patterns o.txt",5,282,4.6
"Abrahamson-2003-Long-term patterns o.txt",8,282,3.1
"Abrahamson-2003-Long-term patterns o.txt",10,282,3.4
"Abrahamson-2003-Long-term patterns o.txt",3,23,11.5
"Abrahamson-2003-Long-term patterns o.txt",1,22,9.2
"Abrahamson-2003-Long-term patterns o.txt",2,24,9.4
"Abrahamson-2003-Long-term patterns o.txt",3,23,14.2
"Abrahamson-2003-Long-term patterns o.txt",3,20,19.2
"Ackerman-1990-Short-Term and Long-.txt",2,133,111.91
"Ackerman-1990-Short-Term and Long-.txt",1,79,2.45
"Ackerman-1990-Short-Term and Long-.txt",1,25,5.33
"Ackerman-1990-Short-Term and Long-.txt",1,26,15.16
"Aday-2003-Assessing population.txt",1,898,0.94
"Aday-2003-Assessing population.txt",1,98,1.00
"Aday-2003-Assessing population.txt",1,4,13.0
"Aday-2003-Assessing population.txt",1,4,108.5
"Aday-2003-Assessing population.txt",1,4,0.06
"Aday-2003-Assessing population.txt",1,4,3.48
"Aday-2003-Assessing population.txt",1,4,1.27
"Aday-2003-Assessing population.txt",1,4,1.26
"Addicott-1974-Predation and Prey C.txt",1,141,16.45
"Addicott-1974-Predation and Prey C.txt",1,129,5.77
"Addo-Bediako-2000-Thermal tolerance, c.txt",3,204,30.53
"Addo-Bediako-2000-Thermal tolerance, c.txt",1,129,0.008
"Addo-Bediako-2000-Thermal tolerance, c.txt",1,98,0.345
"Addo-Bediako-2000-Thermal tolerance, c.txt",1,232,26.57
"Adler-1997-Changing reproductiv.txt",3,2,7.48
"Adler-1997-Changing reproductiv.txt",3,76,1.90
"Adler-1997-Changing reproductiv.txt",1,47,0.10
"Adler-1998-Impacts of resource.txt",6,29,573.12
"Adler-1998-Impacts of resource.txt",1,76,60.73
"Adler-2002-Host effects on herb.txt",1,15,9.87
"Adler-2002-Host effects on herb.txt",1,80,0.001
"Adler-2002-Host effects on herb.txt",2,64,0.894
"Adler-2002-Host effects on herb.txt",2,64,4.00
"Adler-2002-Host effects on herb.txt",6,198,4.41
"Adler-2002-Host effects on herb.txt",6,198,2.70
"Adler-2002-Host effects on herb.txt",2,1,12.78
"Adler-2002-Host effects on herb.txt",1,99,10.88
"Adler-2002-Host effects on herb.txt",1,99,6.77
"Adler-2002-Host effects on herb.txt",1,53,0.22
"Adler-2002-Host effects on herb.txt",1,24,15.57
"Adler-2003-Host species affects.txt",1,45,4.25
"Adler-2003-Host species affects.txt",1,44,1.35
"Adler-2003-Host species affects.txt",1,102,4.2
"Adler-2003-Host species affects.txt",1,142,2.95
"Adler-2003-Host species affects.txt",1,142,0.08
"Adler-2003-Host species affects.txt",1,174,31.20
"Adler-2003-Host species affects.txt",1,46,8.13
"Adler-2003-Host species affects.txt",1,142,43.43
"Adler-2003-Host species affects.txt",1,142,62.10
"Adler-2003-Host species affects.txt",1,142,8.27
"Adler-2003-Host species affects.txt",1,142,6.25
"Adler-2004-Attracting antagonis.txt",1,81,74.21
"Adler-2004-Attracting antagonis.txt",2,82,9.22
